epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.625,0.5,0.690697193145752,0.38461539149284363,0.3125,0.5,0.48076921701431274
0,0,,,,,,,,0.5765765905380249,0.577462375164032,0.6931471824645996,0.5697319507598877,0.5735867619514465,0.577462375164032,0.5819544792175293,,,,,,,
1,1,,,,,,,,,,,,,,,0.625,0.5,0.6883509755134583,0.38461539149284363,0.3125,0.5,0.48076921701431274
1,1,,,,,,,,0.6126126050949097,0.5,0.6909447908401489,0.37988826632499695,0.30630630254745483,0.5,0.46544867753982544,,,,,,,
2,2,,,,,,,,,,,,,,,0.625,0.5,0.6861094832420349,0.38461539149284363,0.3125,0.5,0.48076921701431274
2,2,,,,,,,,0.6126126050949097,0.5,0.6888456344604492,0.37988826632499695,0.30630630254745483,0.5,0.46544867753982544,,,,,,,
3,3,,,,,,,,,,,,,,,0.625,0.5,0.6839753985404968,0.38461539149284363,0.3125,0.5,0.48076921701431274
3,3,,,,,,,,0.6126126050949097,0.5,0.6868515014648438,0.37988826632499695,0.30630630254745483,0.5,0.46544867753982544,,,,,,,
4,4,,,,,,,,,,,,,,,0.625,0.5,0.6819493174552917,0.38461539149284363,0.3125,0.5,0.48076921701431274
4,4,,,,,,,,0.6126126050949097,0.5,0.6849631667137146,0.37988826632499695,0.30630630254745483,0.5,0.46544867753982544,,,,,,,
5,5,,,,,,,,,,,,,,,0.625,0.5,0.6800325512886047,0.38461539149284363,0.3125,0.5,0.48076921701431274
5,5,,,,,,,,0.6126126050949097,0.5,0.683181643486023,0.37988826632499695,0.30630630254745483,0.5,0.46544867753982544,,,,,,,
