epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,2,,,,,,,,,,,,,,,0.800000011920929,0.5,0.6756382584571838,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
0,2,,,,,,,,0.6696165204048157,0.485934853553772,0.6886152625083923,0.4820544123649597,0.4825899004936218,0.485934853553772,0.6521475315093994,,,,,,,
1,5,,,,,,,,,,,,,,,0.800000011920929,0.5,0.6591001749038696,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
1,5,,,,,,,,0.7728613615036011,0.5,0.6727297306060791,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
2,8,,,,,,,,,,,,,,,0.800000011920929,0.5,0.6435464024543762,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
2,8,,,,,,,,0.7728613615036011,0.5,0.658392071723938,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
3,11,,,,,,,,,,,,,,,0.800000011920929,0.5,0.6291179060935974,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
3,11,,,,,,,,0.7728613615036011,0.5,0.6444012522697449,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
4,14,,,,,,,,,,,,,,,0.800000011920929,0.5,0.6156443357467651,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
4,14,,,,,,,,0.7728613615036011,0.5,0.631878137588501,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
5,17,,,,,,,,,,,,,,,0.800000011920929,0.5,0.603169322013855,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
5,17,,,,,,,,0.7728613615036011,0.5,0.6206212639808655,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
6,20,,,,,,,,,,,,,,,0.800000011920929,0.5,0.5917574167251587,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
6,20,,,,,,,,0.7728613615036011,0.5,0.6099527478218079,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
7,23,,,,,,,,,,,,,,,0.800000011920929,0.5,0.5813710689544678,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
7,23,,,,,,,,0.7728613615036011,0.5,0.6003738641738892,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
8,26,,,,,,,,,,,,,,,0.800000011920929,0.5,0.5720112323760986,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
8,26,,,,,,,,0.7728613615036011,0.5,0.591429591178894,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
9,29,,,,,,,,,,,,,,,0.800000011920929,0.5,0.5635340809822083,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
9,29,,,,,,,,0.7728613615036011,0.5,0.5838156342506409,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
10,32,,,,,,,,,,,,,,,0.800000011920929,0.5,0.5559280514717102,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
10,32,,,,,,,,0.7728613615036011,0.5,0.5769181847572327,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
11,35,,,,,,,,,,,,,,,0.800000011920929,0.5,0.5490972399711609,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
11,35,,,,,,,,0.7728613615036011,0.5,0.5712808966636658,0.43594008684158325,0.38643068075180054,0.5,0.6738424897193909,,,,,,,
12,38,,,,,,,,,,,,,,,0.800000011920929,0.5,0.5431757569313049,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
