epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,490,,,,,,,,,,,,,,,0.9897666573524475,0.9798892736434937,0.02580275759100914,0.9844099879264832,0.9891033172607422,0.9798892736434937,0.9897180199623108
0,490,,,,,,,,0.9595358371734619,0.9274073243141174,0.08191440999507904,0.9369828701019287,0.9474595785140991,0.9274073243141174,0.9590721726417542,,,,,,,
1,981,,,,,,,,,,,,,,,0.9900217056274414,0.9802742004394531,0.02533235214650631,0.9847984910011292,0.9894956350326538,0.9802742004394531,0.9899742603302002
1,981,,,,,,,,0.9894316792488098,0.9810759425163269,0.025509770959615707,0.9838144779205322,0.986615002155304,0.9810759425163269,0.9894013404846191,,,,,,,
2,1472,,,,,,,,,,,,,,,0.9828168749809265,0.9886274337768555,0.027049195021390915,0.974791407585144,0.9624643325805664,0.9886274337768555,0.9830530881881714
2,1472,,,,,,,,0.9897345304489136,0.9807264804840088,0.024258451536297798,0.9842524528503418,0.9878816604614258,0.9807264804840088,0.9896966218948364,,,,,,,
3,1963,,,,,,,,,,,,,,,0.9898303747177124,0.9800972938537598,0.023913081735372543,0.9845106601715088,0.9890884160995483,0.9800972938537598,0.9897832870483398
3,1963,,,,,,,,0.9898540377616882,0.9806737899780273,0.024036452174186707,0.9844285249710083,0.988300085067749,0.9806737899780273,0.9898141622543335,,,,,,,
4,2454,,,,,,,,,,,,,,,0.9875988364219666,0.9796916842460632,0.024028658866882324,0.9812246561050415,0.9827773571014404,0.9796916842460632,0.9875789284706116
4,2454,,,,,,,,0.9898062348365784,0.980643630027771,0.02385910227894783,0.9843564033508301,0.9881836175918579,0.980643630027771,0.9897665977478027,,,,,,,
5,2945,,,,,,,,,,,,,,,0.9902129769325256,0.9805068969726562,0.025320960208773613,0.9850882291793823,0.9898465275764465,0.9805068969726562,0.9901658296585083
5,2945,,,,,,,,0.9897584319114685,0.9805992841720581,0.02377137541770935,0.9842838644981384,0.9880812764167786,0.9805992841720581,0.9897188544273376,,,,,,,
6,3436,,,,,,,,,,,,,,,0.9900217056274414,0.9791563153266907,0.02422141283750534,0.9847638010978699,0.9906381368637085,0.9791563153266907,0.9899626970291138
6,3436,,,,,,,,0.9897664189338684,0.9813581109046936,0.02396024763584137,0.9843199253082275,0.9873542189598083,0.9813581109046936,0.9897347092628479,,,,,,,
7,3927,,,,,,,,,,,,,,,0.9900854229927063,0.9804263114929199,0.024632837623357773,0.9848973751068115,0.9895371198654175,0.9804263114929199,0.9900388717651367
7,3927,,,,,,,,0.989646852016449,0.9804151058197021,0.023970238864421844,0.9841122627258301,0.9879229068756104,0.9804151058197021,0.9896067380905151,,,,,,,
8,4418,,,,,,,,,,,,,,,0.9898622632026672,0.9787201285362244,0.02419409155845642,0.9845142364501953,0.990593671798706,0.9787201285362244,0.989800214767456
8,4418,,,,,,,,0.9899656772613525,0.9807726144790649,0.02366093546152115,0.9845974445343018,0.9885437488555908,0.9807726144790649,0.9899253845214844,,,,,,,
9,4909,,,,,,,,,,,,,,,0.9898941516876221,0.9790756702423096,0.02410615049302578,0.9845725297927856,0.9903259873390198,0.9790756702423096,0.9898355007171631
9,4909,,,,,,,,0.9898142218589783,0.9802361726760864,0.023899607360363007,0.9843553304672241,0.9886155128479004,0.9802361726760864,0.9897701740264893,,,,,,,
10,5400,,,,,,,,,,,,,,,0.9849528074264526,0.9869604110717773,0.025272071361541748,0.9777180552482605,0.9691595435142517,0.9869604110717773,0.98509281873703
10,5400,,,,,,,,0.9897823333740234,0.980429470539093,0.023823300376534462,0.9843140244483948,0.9883240461349487,0.980429470539093,0.9897406697273254,,,,,,,
11,5891,,,,,,,,,,,,,,,0.9899260401725769,0.9799900650978088,0.023736586794257164,0.9846484065055847,0.9894900918006897,0.9799900650978088,0.9898766279220581
