epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.5909091234207153,0.5,0.6913790106773376,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
0,0,0.5846154093742371,0.5874999761581421,0.6931474804878235,0.5782263278961182,0.5828598737716675,0.5874999761581421,0.590205729007721,,,,,,,
1,1,,,,,,,,0.5909091234207153,0.5,0.6897132396697998,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
1,1,0.6153846383094788,0.5,0.6908894181251526,0.3809524178504944,0.3076923191547394,0.5,0.4688645005226135,,,,,,,
2,2,,,,,,,,0.5909091234207153,0.5,0.6881508827209473,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
2,2,0.6153846383094788,0.5,0.6887350082397461,0.3809524178504944,0.3076923191547394,0.5,0.4688645005226135,,,,,,,
3,3,,,,,,,,0.5909091234207153,0.5,0.6866930723190308,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
3,3,0.6153846383094788,0.5,0.6866852045059204,0.3809524178504944,0.3076923191547394,0.5,0.4688645005226135,,,,,,,
4,4,,,,,,,,0.5909091234207153,0.5,0.6853395104408264,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
4,4,0.6153846383094788,0.5,0.6847414374351501,0.3809524178504944,0.3076923191547394,0.5,0.4688645005226135,,,,,,,
5,5,,,,,,,,0.5909091234207153,0.5,0.6840906143188477,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
5,5,0.6153846383094788,0.5,0.6829044222831726,0.3809524178504944,0.3076923191547394,0.5,0.4688645005226135,,,,,,,
6,6,,,,,,,,0.5909091234207153,0.5,0.6829462647438049,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
6,6,0.6153846383094788,0.5,0.6811752319335938,0.3809524178504944,0.3076923191547394,0.5,0.4688645005226135,,,,,,,
7,7,,,,,,,,0.5909091234207153,0.5,0.6819050312042236,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
7,7,0.6153846383094788,0.5,0.679553747177124,0.3809524178504944,0.3076923191547394,0.5,0.4688645005226135,,,,,,,
8,8,,,,,,,,0.5909091234207153,0.5,0.6809661388397217,0.37142857909202576,0.2954545319080353,0.5,0.4389610290527344
