epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.6666666865348816,0.5,0.6931190490722656,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342
0,0,0.5,0.5,0.6931471824645996,0.48571425676345825,0.5,0.5,0.48571425676345825,,,,,,,
1,1,,,,,,,,0.6666666865348816,0.5,0.6931438446044922,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342
1,1,0.5,0.5,0.6931471228599548,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
2,2,,,,,,,,0.3333333432674408,0.5,0.693165123462677,0.25,0.1666666716337204,0.5,0.1666666716337204
2,2,0.5,0.5,0.6931470036506653,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
3,3,,,,,,,,0.3333333432674408,0.5,0.693169116973877,0.25,0.1666666716337204,0.5,0.1666666716337204
3,3,0.5,0.5,0.6931469440460205,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
4,4,,,,,,,,0.3333333432674408,0.5,0.6931619644165039,0.25,0.1666666716337204,0.5,0.1666666716337204
4,4,0.5,0.5,0.6931468844413757,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
5,5,,,,,,,,0.3333333432674408,0.5,0.6931498646736145,0.25,0.1666666716337204,0.5,0.1666666716337204
5,5,0.5,0.5,0.6931467056274414,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
6,6,,,,,,,,0.6666666865348816,0.5,0.6931383609771729,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342
6,6,0.5,0.5,0.6931465268135071,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
7,7,,,,,,,,0.6666666865348816,0.5,0.6931314468383789,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342
7,7,0.5,0.5,0.6931465268135071,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
8,8,,,,,,,,0.6666666865348816,0.5,0.6931312084197998,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342
8,8,0.5,0.5,0.6931464076042175,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
9,9,,,,,,,,0.6666666865348816,0.5,0.6931362152099609,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342
9,9,0.5,0.5,0.693146288394928,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
10,10,,,,,,,,0.6666666865348816,0.5,0.693143904209137,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342
10,10,0.5,0.5,0.6931462287902832,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
11,11,,,,,,,,0.3333333432674408,0.5,0.6931518912315369,0.25,0.1666666716337204,0.5,0.1666666716337204
11,11,0.5,0.5,0.6931460499763489,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
12,12,,,,,,,,0.3333333432674408,0.5,0.6931573748588562,0.25,0.1666666716337204,0.5,0.1666666716337204
12,12,0.5,0.5,0.6931459307670593,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
13,13,,,,,,,,0.3333333432674408,0.5,0.6931590437889099,0.25,0.1666666716337204,0.5,0.1666666716337204
13,13,0.5,0.5,0.6931458115577698,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
14,14,,,,,,,,0.3333333432674408,0.5,0.6931567192077637,0.25,0.1666666716337204,0.5,0.1666666716337204
14,14,0.5,0.5,0.6931456923484802,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
15,15,,,,,,,,0.3333333432674408,0.5,0.6931516528129578,0.25,0.1666666716337204,0.5,0.1666666716337204
15,15,0.5,0.5,0.6931455731391907,0.3333333432674408,0.25,0.5,0.3333333432674408,,,,,,,
