epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7003399729728699,0.125,0.0714285746216774,0.5,0.0357142873108387
0,0,,,,,,,,0.47999998927116394,0.4839743375778198,0.6931471228599548,0.476650595664978,0.4833333492279053,0.4839743375778198,0.4749758541584015,,,,,,,
1,1,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7075031995773315,0.125,0.0714285746216774,0.5,0.0357142873108387
1,1,,,,,,,,0.5199999809265137,0.5,0.6927958130836487,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
2,2,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7144637107849121,0.125,0.0714285746216774,0.5,0.0357142873108387
2,2,,,,,,,,0.5199999809265137,0.5,0.6925408244132996,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
3,3,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7209488153457642,0.125,0.0714285746216774,0.5,0.0357142873108387
3,3,,,,,,,,0.5199999809265137,0.5,0.6923661231994629,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
4,4,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7265890836715698,0.125,0.0714285746216774,0.5,0.0357142873108387
4,4,,,,,,,,0.5199999809265137,0.5,0.6922361850738525,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
5,5,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7309731245040894,0.125,0.0714285746216774,0.5,0.0357142873108387
5,5,,,,,,,,0.5199999809265137,0.5,0.6920874714851379,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
6,6,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.733776867389679,0.125,0.0714285746216774,0.5,0.0357142873108387
6,6,,,,,,,,0.5199999809265137,0.5,0.6918227672576904,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
7,7,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7348595857620239,0.125,0.0714285746216774,0.5,0.0357142873108387
7,7,,,,,,,,0.5199999809265137,0.5,0.6913129687309265,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
8,8,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7342339754104614,0.125,0.0714285746216774,0.5,0.0357142873108387
8,8,,,,,,,,0.5199999809265137,0.5,0.6904022097587585,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
9,9,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7319846749305725,0.125,0.0714285746216774,0.5,0.0357142873108387
9,9,,,,,,,,0.5199999809265137,0.5,0.6889057755470276,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
10,10,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7281848788261414,0.125,0.0714285746216774,0.5,0.0357142873108387
10,10,,,,,,,,0.5199999809265137,0.5,0.6865981817245483,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
11,11,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7228606939315796,0.125,0.0714285746216774,0.5,0.0357142873108387
11,11,,,,,,,,0.5199999809265137,0.5,0.6831976175308228,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
12,12,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7159677147865295,0.125,0.0714285746216774,0.5,0.0357142873108387
12,12,,,,,,,,0.5199999809265137,0.5,0.6783528327941895,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
13,13,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7073978781700134,0.125,0.0714285746216774,0.5,0.0357142873108387
13,13,,,,,,,,0.5199999809265137,0.5,0.6716361045837402,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
14,14,,,,,,,,,,,,,,,0.2857142984867096,0.5833333134651184,0.6969941258430481,0.2857142984867096,0.5833333134651184,0.5833333134651184,0.2857142984867096
14,14,,,,,,,,0.6399999856948853,0.625,0.6625417470932007,0.5714285969734192,0.7954545021057129,0.625,0.5782856941223145,,,,,,,
15,15,,,,,,,,,,,,,,,0.5714285969734192,0.75,0.6845206022262573,0.5333333611488342,0.625,0.75,0.6285714507102966
15,15,,,,,,,,0.7599999904632568,0.75,0.6504858136177063,0.7395833730697632,0.8421052694320679,0.75,0.7425000071525574,,,,,,,
